target,broken_count,example_sources
Rexaris,6,characters/Tyrannosaurs of Mokoweri.md
Pyrethane,3,characters/Volgrin Flameward.md | settlements/Magnus' Rest.md
Gnome,3,characters/Yoren Silverhand.md | continents/Pyrosia.md | factions/House Silverhand.md
Celestial Flame,3,essays/Aelion.md | essays/Aeternum.md
Yunara,3,landmarks/Yōkuro no Ki.md
Common,3,Races/Humans/Terran/Terran.md | Races/Kyojin/Leonin/Imperial Leonin.md | Races/Kyojin/Orcs/Imperial Orcs.md
the Eternal Flame,3,resources/Crystals/Sun Topaz.md | resources/Minerals/Radiant Obsidian.md
Flameforging,3,resources/Crystals/Sun Topaz.md | resources/Metals/Everburn Steel.md | resources/Minerals/Radiant Obsidian.md
Fracturecast,2,characters/Gromdir Stillhand.md | landmarks/The Pulsecore.md
Tome of Thousand Nights,2,characters/Volgrin Flameward.md | organisations/Magnesium Devouts.md
Sunforged Anvil,2,factions/The Flamebound of Magnus' Rest.md | organisations/Magnesium Devouts.md
Dragonborn,2,planes/Elementis Ventus.md | planes/Silvertania.md
wikilinks,1,_meta/Conventions.md
f84287e4-8a75-4647-9970-57749cecdc4e.webp,1,artifacts/Blood Kriss.md
Umbralyn,1,artifacts/Chosen of the Twilight.md
ab1c303d-4fd8-4cfa-8b01-3d32812442e4 1.webp,1,characters/Aelar Amakiir.md
02bd0acc-0121-4696-bd15-49b9692e1f01.webp,1,characters/Arthur Denison.md
0744ebd3-db41-44bd-b9f9-592ee36a808b.webp,1,characters/Drezna Ironmaul.md
Pirate Isles,1,characters/Eddreict.md
Astarions Spyglass,1,characters/Eddreict.md
Ironfang Deep,1,characters/Ferrousania.md
Dimensional Loop,1,characters/Glaurung.md
The Chronolometer,1,characters/Larendrammagar.md
Rotor of return,1,characters/Ormr.md
Radiant Forger,1,characters/Volgrin Flameward.md
Everburn Blade,1,characters/Volgrin Flameward.md
The Everburn Blade,1,characters/Volgrin Flameward.md
Pasted image 20250524191346.png,1,characters/Zariel Mephista.md
f1e5b90b-25db-47d1-ab4a-f5ab53ee54af.png,1,continents/Draumhavn.md
Time,1,cosmic-forces/Weave.md
Noxarian,1,deities/Other/Pantheon Of Noxar.md
[Soul,1,deities/Other/The Last War.md
Lex Solara,1,essays/Aelion.md
Ardanus,1,essays/Constellations.md
Life's Work – Irasandra,1,essays/Solarans.md
Final Words of Ketharion,1,essays/Solarans.md
souls,1,essays/Sylara.md
Verdant Sutras,1,essays/Sylara.md
Aetherglyphic,1,essays/Tharamos.md
Pasted image 20250421214555.png,1,essays/The 12 Great Houses.md
Devouts of Muradin,1,factions/The Order of Magnus.md
Salacia,1,factions/Weavers of Agony.md
Aetherglyph,1,landmarks/Dürrenholt.md
Dwarf#Uftine Icebreakers Uftine Dwarves,1,landmarks/Dürrenholt.md
tumblr_2818760f2b2024456ad10eac13f77d5d_740c5d64_1280.jpg,1,landmarks/Embered Caverns.md
Great Elemental,1,landmarks/Eternal Flame.md
Aerlai,1,Languages/Ancient/Elyssan.md
Rite of Emberbinding,1,organisations/Magnesium Devouts.md
Eron Coalmark,1,organisations/Magnesium Devouts.md
The Age of Twilight's Lament,1,prophecies/Vecna's Prophecy.md
Forge Wars,1,Races/Engineered/Forgeborn.md
Salt-Hardened Steel,1,Races/Grundthains/Dwarves/Tidebound.md
Wakened Trench,1,Races/Grundthains/Dwarves/Tidebound.md
Elemental Plane,1,Races/Humans/Elasi/Elasi.md
Elemental Tongue,1,Races/Humans/Elasi/Elasi.md
Material Plane,1,Races/Humans/Terran/Terran.md
Terran Dialect,1,Races/Humans/Terran/Terran.md
Libertum,1,Races/Solarans/Solaran.md
Zariel,1,Races/Solarans/Velastri.md
"High Forgemaster Elran, Circle of Flame",1,resources/Crystals/Sun Topaz.md
"Forgemaster Loras, Keeper of the Core Flame",1,resources/Metals/Everburn Steel.md
9b7d3d1b-9f8f-4f19-9593-54b7a1666a19-1.webp,1,settlements/Aeloria.md
82b7136b-20d5-4612-8e41-b8c46f8b43fa.webp,1,settlements/Aeloria.md
013793c4-7bab-4bd7-9a29-2b02c0601a94.webp,1,settlements/Aeloria.md
18b61091-6670-4168-8cf4-aaba54060847.webp,1,settlements/Eltabarr.md
Pasted image 20250419175621.png,1,settlements/Magnus' Rest.md
Pasted image 20250420165543.png,1,settlements/Raining Bay.md
Anvil of Eternity,1,settlements/Runehart.md
Pasted image 20250420163303.png,1,settlements/Solara.md
Sun Speakers,1,settlements/Solara.md
Syuul,1,settlements/Solara.md
Pasted image 20250419175154.png,1,settlements/Thundrakar.md
2a6dc07c-2481-498a-96e7-b1cbae589bb1.png,1,settlements/Uftine.md
Mokoweri#The Riverland's,1,settlements/Waterfall City.md
Primal,1,technologies/Nature/Primal Magic.md
Divine,1,technologies/Soul/Divine Magic.md
Sentinel Orders,1,technologies/Uncategorized/Ab Solara.md
Planar Connections – Ab Solara,1,technologies/Uncategorized/Ab Solara.md
"DALL·E 2024-05-27 20.24.12 - A schematic style render of a small Solaran airship named 'The Radiant Dawn,' suitable for a crew of 10 persons max, in a broken and damaged state. Th 1.webp",1,technologies/Uncategorized/The Radiant Dawn.md
Everburn Blades,1,traditions/Radiant Forging.md
Ashmantle,1,traditions/Radiant Forging.md
The Sunforged Anvil,1,traditions/Radiant Forging.md
