relpath,size_bytes,has_frontmatter,current_type,inferred_type,inferred_status,inferred_extras,matched_rule
_meta/Conventions.md,2223,yes,essay,SKIP,canon,{},^_meta/.*\.md$
Cosmology/Cosmic Functions/Chaor.md,878,no,,cosmic-force,draft,{},^Cosmology/Cosmic Functions/.*\.md$
Cosmology/Cosmic Functions/Concorda.md,170,no,,cosmic-force,stub,{},^Cosmology/Cosmic Functions/.*\.md$
Cosmology/Cosmic Functions/Cosmic Construction.md,348,no,,cosmic-force,draft,{},^Cosmology/Cosmic Functions/.*\.md$
Cosmology/Cosmic Functions/Entropy.md,1536,yes,,cosmic-force,draft,{},^Cosmology/Cosmic Functions/.*\.md$
Cosmology/Cosmic Functions/Luxar.md,1054,no,,cosmic-force,draft,{},^Cosmology/Cosmic Functions/.*\.md$
Cosmology/Cosmic Functions/Noxar.md,966,no,,cosmic-force,draft,{},^Cosmology/Cosmic Functions/.*\.md$
Cosmology/Cosmic Functions/Ordar.md,947,no,,cosmic-force,draft,{},^Cosmology/Cosmic Functions/.*\.md$
Cosmology/Cosmic Functions/Specular.md,193,no,,cosmic-force,stub,{},^Cosmology/Cosmic Functions/.*\.md$
Cosmology/Cosmic Functions/Weave.md,1939,yes,,cosmic-force,draft,{},^Cosmology/Cosmic Functions/.*\.md$
Cosmology/Creation/Aeternum/Aelion.md,2254,no,,essay,draft,{},^Cosmology/Creation/.*\.md$
Cosmology/Creation/Aeternum/Aeternum.md,4767,yes,,essay,draft,{},^Cosmology/Creation/.*\.md$
Cosmology/Creation/Aeternum/Aetherglyphs.md,2676,no,,essay,draft,{},^Cosmology/Creation/.*\.md$
Cosmology/Creation/Aeternum/Elder Races.md,5782,no,,essay,draft,{},^Cosmology/Creation/.*\.md$
Cosmology/Creation/Aeternum/Sylara.md,1777,no,,essay,draft,{},^Cosmology/Creation/.*\.md$
Cosmology/Creation/Aeternum/Tharamos.md,2199,yes,,essay,draft,{},^Cosmology/Creation/.*\.md$
Cosmology/Creation/Aeternum/Valtor.md,1361,yes,,essay,draft,{},^Cosmology/Creation/.*\.md$
Cosmology/Creation/Corruption/Aberrations.md,0,no,,cosmic-force,stub,{},^Cosmology/Creation/Corruption/.*\.md$
Cosmology/Creation/Corruption/Ishna.md,151,yes,,cosmic-force,stub,{},^Cosmology/Creation/Corruption/.*\.md$
Cosmology/Creation/Corruption/Quintumvirate.md,371,yes,,cosmic-force,draft,{},^Cosmology/Creation/Corruption/.*\.md$
"Cosmology/Creation/Corruption/The God Hand/Arachnie, The Matriarch of Pain.md",34,no,,cosmic-force,stub,{},^Cosmology/Creation/Corruption/.*\.md$
"Cosmology/Creation/Corruption/The God Hand/Cronus, The Endless.md",22,no,,cosmic-force,stub,{},^Cosmology/Creation/Corruption/.*\.md$
"Cosmology/Creation/Corruption/The God Hand/Hyperion, The Fallen.md",27,no,,cosmic-force,stub,{},^Cosmology/Creation/Corruption/.*\.md$
"Cosmology/Creation/Corruption/The God Hand/Syuul, The Devourer.md",8387,yes,,cosmic-force,draft,{},^Cosmology/Creation/Corruption/.*\.md$
"Cosmology/Creation/Corruption/The God Hand/Tau, Sin Manifest.md",57,no,,cosmic-force,stub,{},^Cosmology/Creation/Corruption/.*\.md$
"Cosmology/Creation/Corruption/The God Hand/Typhon, The Archon of Death.md",58,yes,,cosmic-force,stub,{},^Cosmology/Creation/Corruption/.*\.md$
Cosmology/Creation/Creation Story.md,5563,no,,essay,draft,{},^Cosmology/Creation/.*\.md$
Cosmology/Creation/Luminis.md,1068,no,,essay,draft,{},^Cosmology/Creation/.*\.md$
Cosmology/Creation/Machinery of Death.md,3081,yes,,essay,draft,{},^Cosmology/Creation/.*\.md$
Cosmology/Creation/Souls/Divine Soul.md,364,no,,essay,draft,{},^Cosmology/Creation/.*\.md$
